date,clicks,impressions,ctr,position
2026-02-20,0,0,0,0
2026-02-21,0,0,0,0
2026-02-22,0,0,0,0
2026-02-23,0,0,0,0
2026-02-24,0,2,0,5.5
2026-02-25,2,26,7.69,6.8
